endpoint,iter,http,bytes,dns,connect,tls,ttfb,total
hockey/nhl-scores,11,200,3952,0.000059,0.000245,1.003015,1.753026,1.753484
hockey/nhl-scores,12,200,3952,0.000053,0.000201,1.287707,2.458446,2.458727
hockey/nhl-scores,13,200,3952,0.000053,0.000205,1.305772,2.622964,2.623635
hockey/nhl-scores,14,200,3952,0.000057,0.000219,1.034213,1.694901,1.695312
hockey/nhl-scores,15,200,3952,0.000051,0.000240,1.452040,2.206838,2.207484
hockey/nhl-scores,16,200,3952,0.000058,0.000206,1.522466,2.948030,2.948430
hockey/nhl-scores,17,200,3952,0.000052,0.000208,1.336580,1.951843,1.952642
hockey/nhl-scores,18,200,3952,0.000058,0.000225,1.028667,2.345087,2.345554
hockey/nhl-scores,19,200,3952,0.000059,0.000221,1.372284,1.929697,1.930065
hockey/nhl-scores,20,200,3952,0.000054,0.000226,1.061831,1.749721,1.749979
cricket/livescore,1,200,47391,0.000050,0.000198,1.041992,2.310174,2.312699
cricket/livescore,2,200,47390,0.000059,0.000227,1.739154,2.457882,2.880611
cricket/livescore,3,200,47390,0.000051,0.000197,2.357627,7.154939,7.156601
cricket/livescore,4,200,47390,0.000054,0.000201,1.328953,2.166403,2.319368
cricket/livescore,5,200,47390,0.000056,0.000210,1.087491,2.590082,2.782705
cricket/livescore,6,200,47390,0.000056,0.000213,1.388829,2.906165,2.907729
cricket/livescore,7,200,47390,0.000054,0.000191,1.041011,1.822582,1.976832
cricket/livescore,8,200,47390,0.000060,0.000195,1.072003,1.849837,2.041230
cricket/livescore,9,200,47391,0.000049,0.000205,1.407367,2.440037,2.555549
cricket/livescore,10,200,47391,0.000053,0.000209,1.059029,1.900718,2.040947
cricket/livescore,11,200,47391,0.000057,0.000204,1.012383,6.799191,6.800786
cricket/livescore,12,200,47391,0.000054,0.000232,1.239472,2.113970,2.229046
cricket/livescore,13,200,47391,0.000056,0.000201,1.343089,2.201502,2.337583
cricket/livescore,14,200,47391,0.000058,0.000208,1.551415,7.477782,7.666750
cricket/livescore,15,200,47391,0.000052,0.000208,1.388717,2.676036,2.869496
cricket/livescore,16,200,47391,0.000057,0.000207,1.120248,1.876002,2.344481
cricket/livescore,17,200,47391,0.000082,0.000184,1.350919,2.414375,2.415626
cricket/livescore,18,200,47391,0.000055,0.000206,1.736672,3.666706,3.667755
cricket/livescore,19,200,47391,0.000051,0.000214,1.117640,1.802066,1.857610
cricket/livescore,20,200,47391,0.000053,0.000223,1.008553,6.766607,6.912622
